Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1922,Harry Hulihan,Braves,7,15,0.189,0,0,-2,0.9,-0.1,23,1006175
1906,Harry Huston,Phillies,2,5,0.146,-4,0,-0.6,0.1,0,22,1006233
1895,Harry Jordan,Pirates,2,7,0.274,52,-0.1,-0.6,0.2,0,22,1006608
1894,Harry Jordan,Pirates,1,4,0.2,6,0,-0.8,0.2,0,21,1006608
1903,Harry Kane,Tigers,3,8,0.211,33,-0.1,-0.7,0.4,0,19,1006687
1905,Harry Kane,Phillies,2,7,0.16,7,0,-0.8,0.3,0,21,1006687
1902,Harry Kane,Browns,4,9,0.106,-26,0,-1.6,0.4,-0.1,18,1006687
1906,Harry Kane,Phillies,6,10,0.081,-44,0,-1.6,0.4,-0.1,22,1006687
1925,Harry Kelley,Senators,6,4,0,-100,0,-1.2,0.3,-0.1,19,1006773
1926,Harry Kelley,Senators,7,1,0,-100,0,-0.3,0.1,0,20,1006773
1914,Harry Kingman,Yankees,4,4,0.184,8,0,-0.4,0,0,22,1006940
1934,Harry Kinzy,White Sox,13,11,0.322,78,0,-0.3,0.8,0.1,23,1006955
1911,Harry Krause,Athletics,27,65,0.287,68,-0.4,-3,3.7,0.3,22,1007143
1910,Harry Krause,Athletics,16,45,0.256,64,-0.3,-1.9,1.8,0.1,21,1007143
1912,Harry Krause,Athletics,4,4,0.24,43,0,-0.3,0.2,0,23,1007143
1909,Harry Krause,Athletics,32,80,0.171,12,-0.3,-7.4,3.8,-0.2,20,1007143
1908,Harry Krause,Athletics,4,7,0,-99,0,-1.4,0.3,-0.1,19,1007143
1899,Harry Lochhead,Spiders,148,578,0.268,53,0.6,-38.6,-10,-2.5,23,1007685
1904,Harry Lumley,Superbas,150,633,0.361,132,2.1,24.4,-9.4,4.1,23,1007830
1888,Harry Lyons,Browns,123,522,0.233,58,1.8,-28.4,-2.9,-1,22,1007883
1889,Harry Lyons,Giants,5,22,0.189,22,-0.1,-2.9,-0.3,-0.2,23,1007883
1887,Harry Lyons,- - -,3,13,0.132,-8,0.3,-2.1,0.9,0,21,1007883
1941,Harry Marnie,Phillies,61,174,0.284,69,-0.1,-6.4,-1.3,-0.3,22,1008115
1940,Harry Marnie,Phillies,11,39,0.223,26,0,-3.5,2.5,0,21,1008115
1942,Harry Marnie,Phillies,24,31,0.176,2,0.2,-3.1,-0.1,-0.2,23,1008115
1882,Harry Maskrey,Eclipse,1,4,0,-50,0,-0.8,0,-0.1,20,1008213
1882,Harry McCaffery,- - -,39,160,0.307,119,0,4.1,0,1,23,1008353
1915,Harry McCluskey,Reds,3,2,0,-100,0,-0.4,0.1,0,23,1008402
1879,Harry McCormick,Stars,57,230,0.218,73,0,-8.7,-3.4,-0.4,23,1008414
1922,Harry McCurdy,Cardinals,13,28,0.371,108,0,0.4,0.2,0.2,22,1008439
1923,Harry McCurdy,Cardinals,67,200,0.306,71,0.6,-6.9,1.8,0.2,23,1008439
1901,Harry McNeal,Blues,12,39,0.18,13,-0.2,-5,1.9,-0.1,22,1008664
1912,Harry Moran,Tigers,5,5,0.192,8,0,-0.6,0.3,0,23,1009148
1904,Harry Ostdiek,Naps,7,22,0.301,99,0.1,0,0.2,0.1,23,1009876
1909,Harry Otis,Naps,5,10,0.16,3,0,-1,0.5,0,22,1009895
1970,Harry Parker,Cardinals,7,8,0.227,33,0,-0.7,0.6,0,22,1010003
1909,Harry Redmond,Superbas,6,20,0,-93,0,-4,0,-0.4,21,1010755
1925,Harry Rice,Browns,103,420,0.459,150,-0.4,29.1,1.4,4.3,23,1010895
1924,Harry Rice,Browns,54,105,0.337,79,-0.8,-3.8,-1.5,-0.2,22,1010895
1923,Harry Rice,Browns,4,3,0,-100,0,-0.9,0,-0.1,21,1010895
1930,Harry Rosenberg,Giants,9,6,0.125,-39,0,-1.3,-0.1,-0.1,21,1011210
1877,Harry Smith,- - -,34,135,0.235,67,0,-6.6,-5.2,-0.7,21,1012148
1912,Harry Smith,White Sox,1,2,0,-100,0,-0.5,0.1,0,22,1012152
1978,Harry Spilman,Reds,4,4,0.228,36,0,-0.3,0,0,23,1012343
1911,Harry Spratt,Rustlers,62,171,0.315,76,-0.9,-6.1,-5.4,-0.6,23,1012358
1890,Harry Staley,Burghers,47,178,0.267,59,-1.6,-14.4,-0.1,-0.5,23,1012389
1889,Harry Staley,Alleghenys,51,190,0.178,23,-1,-24.8,-0.1,-1.4,22,1012389
1888,Harry Staley,Alleghenys,25,87,0.141,24,-0.2,-9.2,3.8,-0.2,21,1012389
1898,Harry Steinfeldt,Reds,88,355,0.361,109,-0.2,4.2,-3,1.3,20,1012466
1901,Harry Steinfeldt,Reds,105,422,0.321,94,-0.4,-3.8,-4.3,0.7,23,1012466
1899,Harry Steinfeldt,Reds,107,440,0.32,81,0.7,-11.7,-1.1,0.4,21,1012466
1900,Harry Steinfeldt,Reds,134,563,0.302,73,-0.6,-22.1,5.1,0.5,22,1012466
1880,Harry Stovey,Ruby Legs,83,367,0.331,128,0,13.3,-1.3,2.5,23,1012586
1909,Harry Sullivan,Cardinals,2,1,0,-94,0,-0.2,0,0,21,1012692
1909,Harry Suter,White Sox,18,35,0.129,-12,-0.1,-4.1,1.6,-0.2,21,1012736
1957,Harry Taylor,Athletics,2,4,0.226,30,0,-0.3,0.3,0,21,1012877
1913,Harry Trekell,Cardinals,7,10,0.169,-1,-0.1,-1.2,0.5,0,20,1013173
1904,Harry Vahrenhorst,Browns,1,1,0,-91,0,-0.2,0,0,19,1013307
1940,Harry Walker,Cardinals,7,28,0.199,6,0,-3.2,-0.1,-0.2,23,1013521
1915,Harry Weaver,Athletics,2,6,0.234,42,0,-0.4,0.3,0,23,1013698
1878,Harry Wheeler,Grays,7,29,0.179,48,0,-2.1,0,-0.1,20,1013837
1880,Harry Wheeler,- - -,18,69,0.105,6,0,-8.4,-2.1,-0.8,22,1013837
1879,Harry Wheeler,Reds,1,3,0,-43,0,-0.6,0,0,21,1013837
1913,Harry Williams,Yankees,27,104,0.361,117,0.3,2.3,-1.8,0.4,23,1014002
1907,Harry Wolter,- - -,21,66,0.298,89,-0.3,-1.1,-0.5,0.1,22,1014200
1903,Harry Wood,Reds,2,4,0.184,8,0,-0.5,-0.1,0,22,1014218
1900,Harvey Bailey,Beaneaters,4,9,0.293,65,0,-0.5,0.4,0,23,1000424
1899,Harvey Bailey,Beaneaters,12,37,0.292,61,-0.2,-2.4,1.8,0.1,22,1000424
1962,Harvey Branch,Cardinals,1,1,0,-100,0,-0.3,0.1,0,23,1001341
1921,Harvey Freeman,Athletics,18,13,0.078,-71,0,-3.1,0.7,-0.2,23,1004318
1912,Harvey Grubb,Naps,1,1,0.786,371,0,0.3,0,0,21,1005102
1952,Harvey Kuenn,Tigers,19,85,0.346,105,0.1,0.6,-0.8,0.3,21,1007200
1953,Harvey Kuenn,Tigers,155,731,0.341,99,-0.2,-1.2,9.6,3.3,22,1007200
1954,Harvey Kuenn,Tigers,155,696,0.332,97,-1.3,-3.5,16.6,3.5,23,1007200
1991,Harvey Pulliam,Royals,18,37,0.39,142,0,1.8,-1.5,0.2,23,1010567
1961,Hawk Taylor,Braves,20,29,0.27,64,-0.4,-1.7,-0.2,-0.1,22,1012876
1962,Hawk Taylor,Braves,20,49,0.251,52,-0.4,-3.3,1.4,0,23,1012876
1958,Hawk Taylor,Braves,4,8,0.161,-3,0,-1,-0.1,-0.1,19,1012876
1957,Hawk Taylor,Braves,7,1,0,-100,0,-0.2,0,0,18,1012876
2005,Hayden Penn,Orioles,8,3,0.351,116,0,0.1,0.3,0,20,4893
1976,Hector Cruz,Cardinals,151,577,0.287,76,0.1,-15.2,-13.5,-1,23,1002839
1975,Hector Cruz,Cardinals,23,52,0.2,17,0,-4.9,-1.2,-0.5,22,1002839
1973,Hector Cruz,Cardinals,11,12,0.059,-76,0,-2.4,-1,-0.3,20,1002839
1991,Hector Fajardo,Pirates,2,3,0,-100,0,-0.7,0.3,0,20,1003908
2006,Hector Gimenez,Astros,2,2,0,-100,0,-0.6,0,0,23,2172
2011,Hector Gomez,Rockies,2,7,0.297,70,-0.1,-0.4,-0.8,-0.1,23,2264
1962,Hector Martinez,Athletics,1,1,0,-100,0,-0.3,0,0,23,1008170
2012,Hector Sanchez,Giants,74,227,0.296,90,-0.4,-3.2,1.8,0.6,22,10289
2011,Hector Sanchez,Giants,13,34,0.293,87,-0.2,-0.7,-0.9,-0.1,21,10289
2013,Hector Sanchez,Giants,63,140,0.29,88,0.1,-1.8,-0.9,0.2,23,10289
1968,Hector Torres,Astros,128,496,0.233,54,-0.6,-22.9,2.2,-0.5,22,1013132
1969,Hector Torres,Astros,34,72,0.185,13,0,-7.1,-5,-1,23,1013132
2002,Hee Seop Choi,Cubs,24,57,0.273,63,-0.5,-3.1,-2.8,-0.4,23,270
1913,Heinie Elder,Tigers,1,1,0,-100,0,-0.2,0.1,0,22,1003724
1912,Heinie Groh,Giants,27,56,0.358,105,0.7,1.1,-0.4,0.3,22,1005078
1913,Heinie Groh,- - -,121,460,0.35,107,1.4,5,2.4,2.5,23,1005078
1912,Heinie Jantzen,Browns,31,128,0.217,27,-0.1,-11.5,-0.5,-0.8,22,1006360
1923,Heinie Manush,Tigers,109,358,0.409,132,-0.6,14.6,-4.4,2.1,21,1008089
1924,Heinie Manush,Tigers,120,485,0.371,105,1.8,5.2,-3.6,1.8,22,1008089
1925,Heinie Manush,Tigers,99,312,0.364,98,1,0.3,-4.2,0.7,23,1008089
1923,Heinie Mueller,Cardinals,78,290,0.419,140,0.2,15.4,0.1,2.5,23,1009280
1921,Heinie Mueller,Cardinals,55,193,0.406,138,-0.7,8.5,-1.4,1.3,21,1009280
1920,Heinie Mueller,Cardinals,4,24,0.354,118,0.3,0.8,-0.2,0.1,20,1009280
1922,Heinie Mueller,Cardinals,61,178,0.336,87,0.3,-2.7,-3.3,0,22,1009280
1894,Heinie Peitz,Browns,99,382,0.349,81,-0.5,-14.4,1.6,0.4,23,1010131
1893,Heinie Peitz,Browns,96,417,0.345,90,-1.2,-7.9,0.3,0.7,22,1010131
1892,Heinie Peitz,Browns,1,3,0,-82,0,-0.8,0,-0.1,21,1010131
1923,Heinie Scheer,Athletics,69,245,0.295,60,-0.6,-13.6,-1.1,-0.7,22,1011532
1922,Heinie Scheer,Athletics,51,145,0.213,11,0.4,-16.8,2.2,-1,21,1011532
1927,Heinie Schuble,Cardinals,65,228,0.296,66,-0.1,-10,7,0.4,20,1011621
1929,Heinie Schuble,Tigers,92,283,0.293,57,-0.4,-17.1,-11.6,-1.8,22,1011621
1902,Heinie Wagner,Giants,17,57,0.213,35,0.3,-3.9,-2,-0.4,21,1013483
1910,Heinie Zimmerman,Cubs,99,363,0.349,107,-1.1,2,-2.8,1.3,23,1014444
1908,Heinie Zimmerman,Cubs,46,118,0.31,101,-0.3,-0.2,-3.2,0.1,21,1014444
1909,Heinie Zimmerman,Cubs,65,190,0.305,92,0.3,-1.3,-4.1,0.2,22,1014444
1907,Heinie Zimmerman,Cubs,5,9,0.268,70,0,-0.3,-1,-0.1,20,1014444
2013,Henderson Alvarez,Marlins,17,35,0.334,112,0,0.4,3.5,0.5,23,5669
2012,Henderson Alvarez,Blue Jays,31,1,0,-100,0,-0.3,0.1,0,22,5669
1895,Henry Adkinson,Browns,1,5,0.384,109,-0.1,0,-0.1,0,20,1000076
1890,Henry Blauvelt,Broncos,2,6,0.486,188,0.5,1.3,0.3,0.1,17,1001063
1915,Henry Bostick,Athletics,2,8,0.092,-46,0,-1.3,0.1,-0.1,20,1001218
1884,Henry Boyle,Maroons,65,271,0.296,115,0,5.8,1.7,1.9,23,1001288
1898,Henry Clarke,Orphans,2,5,0.348,104,0,0,0,0,22,1002286
1897,Henry Clarke,Spiders,7,27,0.307,70,-0.3,-1.5,-0.1,0,21,1002286
1936,Henry Coppola,Senators,6,3,0.432,134,0,0.2,0.2,0,23,1002605
1935,Henry Coppola,Senators,19,18,0.216,20,0,-2,1.1,0,22,1002605
1984,Henry Cotto,Cubs,105,160,0.288,72,0.6,-4.4,7.3,0.8,23,1002664
1975,Henry Cruz,Dodgers,53,101,0.297,84,-0.2,-2,-3.6,-0.2,23,1002840
1884,Henry Easterday,Keystones,28,120,0.262,96,0,-0.6,-0.3,0.4,19,1003638
1888,Henry Easterday,Cowboys,115,437,0.251,68,-0.6,-20,18.1,1.5,23,1003638
1887,Henry Gruber,Wolverines,7,30,0.302,82,-0.5,-1.4,2,0.1,23,1005106
1871,Henry Kohler,Kekiongas,3,12,0.179,35,0,-1.8,-0.9,-0.2,19,1007080
1873,Henry Kohler,Marylands,6,25,0.114,13,0,-4.6,-3.9,-0.6,21,1007080
1874,Henry Kohler,Canaries,2,4,0,-38,0,-1,-1,-0.2,22,1007080
1894,Henry Lampe,Beaneaters,2,3,0.275,37,0,-0.4,0.2,0,21,1007285
1895,Henry Lampe,Phillies,7,18,0.229,27,-0.1,-2.3,0.5,-0.1,22,1007285
1875,Henry Luff,Elm Citys,38,166,0.301,124,-0.8,5.6,-3.4,0.6,18,1007822
1906,Henry Mathewson,Giants,2,3,0,-96,0,-0.6,0.1,0,19,1008238
1992,Henry Mercedes,Athletics,9,5,0.881,478,0,2.1,-0.9,0.2,22,1008773
1993,Henry Mercedes,Athletics,20,50,0.239,46,-0.2,-3.5,2.7,0.1,23,1008773
1884,Henry Mullin,- - -,36,136,0.172,46,0,-10.9,-2.8,-0.8,22,1009304
2015,Henry Owens,Red Sox,11,2,0,-100,0,-0.5,0.2,0,22,13143
1929,Henry Peploski,Braves,6,12,0.237,26,0,-1.3,0.1,-0.1,23,1010168
2012,Henry Rodriguez,Reds,12,16,0.275,68,-0.3,-0.9,-0.9,-0.1,22,7983
2013,Henry Rodriguez,Reds,9,10,0.158,-13,0,-1.3,-0.4,-0.2,23,7983
1912,Henry Smoyer,Browns,6,16,0.274,62,-0.1,-0.9,1.3,0.1,22,1012221
1903,Henry Thielman,Superbas,9,28,0.362,115,-0.2,0.3,-1.1,0,22,1012954
1902,Henry Thielman,- - -,34,109,0.18,4,-0.2,-12,-0.2,-0.9,21,1012954
1898,Henry Wilson,Orioles,1,3,0.256,52,0,-0.2,0,0,21,1014084
1990,Hensley Meulens,Yankees,23,95,0.349,118,0.2,2.1,-4,0.1,23,1008816
1989,Hensley Meulens,Yankees,8,30,0.199,20,-0.4,-3.1,2,0,22,1008816
1948,Herb Adams,White Sox,5,13,0.329,87,0,-0.2,-0.1,0,20,1000053
1949,Herb Adams,White Sox,56,218,0.314,76,-0.7,-7.4,-0.9,-0.1,21,1000053
1950,Herb Adams,White Sox,34,133,0.27,47,0.6,-9.1,1.8,-0.2,22,1000053
1937,Herb Bremer,Cardinals,11,36,0.239,31,0,-3.1,0.3,-0.2,23,1001384
1890,Herb Goodall,Colonels,19,48,0.45,167,-0.8,4.1,0,0.5,20,1004850
1936,Herb Harris,Phillies,4,1,0,-100,0,-0.3,0.1,0,23,1005417
1916,Herb Hunter,- - -,23,32,0.256,65,-0.1,-1.2,0.2,0,20,1006202
1917,Herb Hunter,Cubs,3,3,0,-100,0,-0.6,0,-0.1,21,1006202
1915,Herb Kelly,Pirates,5,2,0.9,475,0,0.8,0.1,0.1,23,1006800
1914,Herb Kelly,Pirates,5,9,0.213,31,0,-0.7,0.5,0,22,1006800
1917,Herb Pennock,Red Sox,24,33,0.303,92,-0.2,-0.5,1.4,0.2,23,1010161
1915,Herb Pennock,- - -,16,24,0.277,70,0,-0.8,1,0.1,21,1010161
1914,Herb Pennock,Athletics,28,59,0.252,54,-0.1,-3,3.2,0.3,20,1010161
1916,Herb Pennock,Red Sox,11,9,0.187,16,0,-0.8,0.4,0,22,1010161
1913,Herb Pennock,Athletics,14,10,0.169,2,-0.1,-1.2,0.5,0,19,1010161
1912,Herb Pennock,Athletics,17,16,0.155,-9,0,-2.2,0.8,-0.1,18,1010161
1956,Herb Score,Indians,35,100,0.242,39,-0.4,-8.1,6.6,0.2,23,1011671
1955,Herb Score,Indians,33,95,0.134,-29,-0.4,-15.5,6,-0.6,22,1011671
1925,Herb Thomas,Braves,5,20,0.335,89,-0.4,-0.7,0.2,0,23,1012980
1924,Herb Thomas,Braves,32,139,0.279,60,0.4,-6.4,3.2,0.1,22,1012980
1974,Herb Washington,Athletics,92,0,0, ,-0.3,-0.3,-3,-0.4,22,1013656
1975,Herb Washington,Athletics,13,0,0, ,0,0,-0.3,0,23,1013656
1888,Hercules Burnett,Colonels,1,5,0.146,17,0.1,-0.4,-0.1,0,22,1001697
1872,Herm Doscher,Atlantics,6,25,0.342,105,0.1,0.4,-0.4,0.1,19,1003421
1875,Herm Doscher,Nationals,22,81,0.191,61,0.3,-4.7,-1.3,-0.3,22,1003421
1873,Herm Doscher,Atlantics,1,6,0.158,37,0,-0.8,0,0,20,1003421
1930,Herm Holshouser,Browns,25,20,0.242,25,0,-2.1,1.2,0,23,1005982
1907,Herm Malloy,Tigers,1,4,0.36,129,0,0.1,0.2,0,22,1008028
1908,Herm Malloy,Tigers,3,9,0.321,108,-0.1,0,0.3,0.1,23,1008028
1921,Herm Merritt,Tigers,20,49,0.4,122,0.4,1.9,-2,0.1,20,1008788
1949,Herm Wehmeier,Reds,36,85,0.259,43,0,-6.1,5.9,0.3,22,1013729
1950,Herm Wehmeier,Reds,54,94,0.16,-23,0,-14.9,7.1,-0.5,23,1013729
1948,Herm Wehmeier,Reds,36,59,0.104,-54,0,-11.2,3.9,-0.5,21,1013729
1945,Herm Wehmeier,Reds,3,1,0,-100,0,-0.2,0.1,0,18,1013729
1984,Herm Winningham,Mets,14,28,0.422,173,0,2.3,-3,0,22,1014139
1985,Herm Winningham,Expos,125,345,0.275,73,0.3,-10.4,2,0.3,23,1014139
1935,Herman Fink,Athletics,5,5,0.186,1,0,-0.7,0.3,0,23,1004053
1969,Herman Hill,Twins,16,2,0,-100,-0.6,-1,0,-0.1,23,1005822
1889,Herman Long,Cowboys,136,648,0.353,101,9.9,11.5,3.9,3.4,23,1007731
2012,Hernan Perez,Tigers,2,2,0.442,183,0,0.2,0,0,21,5751
2014,Hernan Perez,Tigers,8,6,0.263,64,0,-0.2,0,0,23,5751
2013,Hernan Perez,Tigers,34,71,0.198,15,0.5,-6.4,-1.1,-0.6,22,5751
1914,Herold Juul,Tip-Tops,9,9,0.213,25,0,-0.8,0.5,0,21,1006659
1884,Hezekiah Allen,Quakers,1,3,0.616,262,0,0.8,0,0.1,21,1000144
1905,Hi West,Naps,6,13,0.074,-48,0,-2.1,0.6,-0.1,20,1013804
1879,Hick Carpenter,Stars,65,263,0.198,63,0,-13.8,-6.1,-1,23,1001979
1879,Hickey Hoffman,Blues,2,6,0,-45,0,-1.2,-1,-0.2,22,1005907
1899,Highball Wilson,Spiders,1,3,0.446,152,0,0.2,0.1,0,20,1014085
1902,Highball Wilson,Athletics,13,39,0.21,24,-0.2,-4.2,1.7,-0.1,23,1014085
1941,Hillis Layne,Senators,13,54,0.312,78,-0.2,-1.8,0,0,23,1007417
1987,Hipolito Pena,Pirates,16,6,0.149,-19,0,-0.9,0.6,0,23,1010145
1911,Hippo Vaughn,Highlanders,26,60,0.24,33,-0.2,-5.3,3.4,0,23,1013384
1910,Hippo Vaughn,Highlanders,30,82,0.187,10,-0.2,-7.7,3.3,-0.2,22,1013384
1908,Hippo Vaughn,Highlanders,2,1,0,-100,0,-0.2,0,0,20,1013384
1951,Hobie Landrith,Reds,4,14,0.412,141,0,0.7,0.2,0.1,21,1007300
1953,Hobie Landrith,Reds,52,167,0.292,62,0.5,-7.8,5.9,0.3,23,1007300
1952,Hobie Landrith,Reds,15,50,0.274,57,-0.4,-2.9,0.9,0,22,1007300
1950,Hobie Landrith,Reds,4,16,0.267,45,0,-1.1,0.2,0,20,1007300
1918,Hod Eller,Reds,37,78,0.182,12,0.1,-6.8,2.9,-0.2,23,1003729
1917,Hod Eller,Reds,37,49,0.141,-15,-0.1,-5.8,2.1,-0.3,22,1003729
1921,Hod Fenner,White Sox,2,2,0,-100,0,-0.6,0.1,0,23,1003981
1921,Hod Ford,Braves,152,614,0.321,84,-2.7,-15,12.7,1.9,23,1004221
1920,Hod Ford,Braves,88,287,0.301,84,0.1,-5.1,9.8,1.4,22,1004221
1919,Hod Ford,Braves,10,32,0.282,78,-0.2,-0.9,1.6,0.2,21,1004221
1925,Hod Kibbie,Braves,11,46,0.321,80,0.1,-1.2,0.4,0.1,21,1006888
1872,Holly Hollingshead,Nationals,9,45,0.354,113,0.1,1.4,-4.8,-0.3,19,1005959
1873,Holly Hollingshead,Blue Legs,30,136,0.257,74,0.3,-7.2,-1.4,-0.1,20,1005959
1875,Holly Hollingshead,Nationals,19,82,0.249,90,0,-1.3,-2,0,22,1005959
2007,Homer Bailey,Reds,9,12,0.277,57,0,-0.7,1.3,0.1,21,8362
2008,Homer Bailey,Reds,8,12,0.126,-40,0,-2.1,1.3,0,22,8362
2009,Homer Bailey,Reds,22,43,0.071,-78,0,-9.4,4.7,-0.3,23,8362
1922,Homer Blankenship,White Sox,4,4,0,-100,0,-1.2,0.2,-0.1,19,1001049
1908,Homer Davidson,Naps,9,4,0,-96,0.2,-0.6,0.1,0,23,1003027
1922,Homer Summa,Indians,12,50,0.448,155,-0.6,3.1,-1.5,0.3,23,1012717
1920,Homer Summa,Pirates,10,29,0.4,146,0.3,1.7,-0.2,0.3,21,1012717
1897,Honus Wagner,Colonels,61,258,0.395,119,1.7,9.3,-3.4,1.3,23,1013485
1922,Hooks Cotter,Cubs,1,1,1.307,667,0,0.8,0,0.1,22,1002661
1912,Hooks Dauss,Tigers,2,6,0.483,186,-0.1,0.6,0.3,0.1,22,1003011
1913,Hooks Dauss,Tigers,33,90,0.266,57,-0.5,-4.9,4.9,0.3,23,1003011
1916,Hooks Warner,Pirates,44,177,0.27,69,0.7,-4.7,-4.7,-0.4,22,1013632
1917,Hooks Warner,Pirates,3,5,0.192,16,0,-0.4,0,0,23,1013632
1941,Hoot Evers,Tigers,1,4,0,-100,0,-1.1,0,-0.1,20,1003875
1919,Horace Allen,Robins,4,7,0,-100,0,-1.6,-0.1,-0.2,20,1000145
1915,Horace Milan,Senators,11,35,0.506,211,0.4,4.6,-0.4,0.6,21,1008857
1917,Horace Milan,Senators,31,81,0.34,113,0.3,1.4,-2.1,0.2,23,1008857
1975,Horace Speed,Giants,17,17,0.218,24,0,-1.5,-1.2,-0.2,23,1012312
1999,Horacio Estrada,Brewers,4,2,0,-100,0,-0.6,0.2,0,23,1003843
1968,Horacio Pina,Indians,12,8,0,-100,0,-1.7,0.5,-0.1,23,1010354
2003,Horacio Ramirez,Braves,29,67,0.099,-54,0,-13.3,7.1,-0.4,23,110
1978,Hosken Powell,Twins,121,437,0.303,85,0.3,-7,-2.9,0.4,23,1010486
1911,Howard Armstrong,Athletics,1,1,0,-100,0,-0.3,0.1,0,21,1000312
1995,Howard Battle,Blue Jays,9,19,0.294,70,0.2,-0.5,0.9,0.1,23,1000674
1890,Howard Earl,Colts,92,404,0.3,74,-0.3,-16.4,1,0,21,1003630
1891,Howard Earl,Brewers,31,135,0.298,67,-0.4,-7.4,0.2,-0.1,22,1003630
1917,Howard Ehmke,Tigers,35,74,0.276,70,-0.4,-2.7,3.2,0.3,23,1003707
1916,Howard Ehmke,Tigers,5,14,0.137,-21,0,-1.8,0.6,-0.1,22,1003707
1915,Howard Ehmke,Blues,18,12,0,-100,0,-2.7,0.5,-0.2,21,1003707
1912,Howard Fahey,Athletics,5,8,0,-100,0,-2,0.1,-0.2,20,1003899
1990,Howard Farmer,Expos,6,6,0.363,126,0,0.2,0.6,0.1,23,1003936
1925,Howard Freigau,- - -,126,551,0.353,94,0.5,-4.1,1.1,1.5,22,1004332
1926,Howard Freigau,Cubs,140,569,0.327,87,1,-8,2.3,1.1,23,1004332
1924,Howard Freigau,Cardinals,98,406,0.311,76,1.6,-10.7,-4.9,-0.2,21,1004332
1923,Howard Freigau,Cardinals,113,392,0.305,71,0.2,-14.8,4.4,0.3,20,1004332
1922,Howard Freigau,Cardinals,3,1,0,-100,0,-0.3,0.2,0,19,1004332
1982,Howard Johnson,Tigers,54,173,0.365,126,-0.2,5.2,-1.2,1,21,1006462
1984,Howard Johnson,Tigers,116,402,0.325,102,-0.4,0.8,-1.8,1.2,23,1006462
1983,Howard Johnson,Tigers,27,74,0.298,83,0,-1.5,-1.1,0,22,1006462
1914,Howard Lohr,Reds,18,48,0.231,39,0.3,-2.9,-2.5,-0.4,22,1007707
1912,Howard McGraner,Reds,4,8,0.336,90,0,-0.1,0.4,0.1,22,1008541
1906,Howard Wakefield,Senators,77,220,0.319,105,-0.2,1,0.9,1,22,1013499
1907,Howard Wakefield,Naps,26,40,0.2,30,-0.1,-3,0.3,-0.2,23,1013499
1905,Howard Wakefield,Naps,10,27,0.171,14,-0.1,-2.6,-0.8,-0.3,21,1013499
1918,Howdy Caton,Pirates,80,345,0.303,85,0.5,-4.7,11.9,1.9,21,1002085
1920,Howdy Caton,Pirates,98,394,0.291,72,-1.7,-13.9,2.9,0.2,23,1002085
1917,Howdy Caton,Pirates,14,63,0.287,78,-0.3,-1.7,-0.1,0,20,1002085
1919,Howdy Caton,Pirates,39,120,0.245,48,-0.1,-6.5,0.5,-0.3,22,1002085
1904,Howie Camnitz,Pirates,10,17,0.098,-31,0,-2.5,0.6,-0.2,22,1001866
1917,Howie Camp,Yankees,5,22,0.316,96,-0.1,-0.2,-0.1,0,23,1001896
1926,Howie Carter,Reds,5,1,0,-100,0,-0.3,0.2,0,21,1002016
1922,Howie Fitzgerald,Cubs,10,28,0.374,107,0.3,0.6,-1.3,0,20,1004108
1924,Howie Fitzgerald,Cubs,7,19,0.149,-28,0,-3,-1.2,-0.4,22,1004108
1944,Howie Fox,Reds,2,1,0,-100,0,-0.2,0.1,0,23,1004278
1915,Howie Haworth,Indians,7,9,0.27,59,0,-0.4,0.2,0,21,1005519
1948,Howie Judson,White Sox,41,34,0.132,-33,0,-5.8,2.3,-0.2,22,1006646
1949,Howie Judson,White Sox,26,35,0.094,-56,0,-7.1,2.4,-0.4,23,1006646
2007,Howie Kendrick,Angels,88,353,0.346,109,-0.3,3.7,8,2.3,23,4229
2006,Howie Kendrick,Angels,72,283,0.313,86,2,-3.2,-0.4,0.6,22,4229
1961,Howie Koplitz,Tigers,4,4,0,-100,0,-1.1,0.3,-0.1,23,1007107
1937,Howie Krist,Cardinals,6,10,0,-100,0,-2.8,0.7,-0.2,21,1007167
1942,Howie Moss,Giants,7,14,0,-100,0,-3.3,-0.1,-0.3,23,1009249
1959,Howie Nunn,Cardinals,16,2,0,-100,0,-0.5,0.2,0,23,1009662
1942,Howie Pollet,Cardinals,27,40,0.331,100,0,0,2.5,0.4,21,1010423
1941,Howie Pollet,Cardinals,9,30,0.201,8,0,-3.2,2.1,0,20,1010423
1943,Howie Pollet,Cardinals,16,45,0.178,0,0,-4.9,2.3,-0.2,22,1010423
1958,Howie Reed,Athletics,3,4,0.234,37,0,-0.3,0.3,0,21,1010766
1959,Howie Reed,Athletics,6,4,0.176,-1,0,-0.5,0.3,0,22,1010766
1944,Howie Schultz,Dodgers,138,556,0.318,87,1,-7.2,-6.9,0.3,21,1011634
1943,Howie Schultz,Dodgers,45,190,0.311,85,0.5,-2.5,-1.9,0.1,20,1011634
1946,Howie Schultz,Dodgers,90,272,0.308,80,0.3,-5.6,-0.8,0.1,23,1011634
1945,Howie Schultz,Dodgers,39,157,0.305,75,0.3,-4.4,-0.6,0,22,1011634
1912,Howie Shanks,Senators,116,461,0.301,77,1.2,-11.8,-4.6,-0.1,21,1011791
1913,Howie Shanks,Senators,109,416,0.29,74,2.1,-10.1,0.6,0.3,22,1011791
