Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1961,Al Downing,Yankees,5,1,0,-100,0,-0.3,0.1,0,20,1003450
1938,Al Epperly,Cubs,9,10,0.372,122,0,0.3,0.7,0.1,20,1003797
1940,Al Evans,Senators,14,31,0.404,132,0.2,1.5,0.3,0.3,23,1003857
1939,Al Evans,Senators,7,26,0.394,122,0,0.8,0.2,0.2,22,1003857
1963,Al Ferrara,Dodgers,21,52,0.243,62,0,-2.1,-1.6,-0.2,23,1004003
1969,Al Fitzmorris,Royals,7,1,0,-100,0,-0.2,0.1,0,23,1004119
1945,Al Gionfriddo,Pirates,122,476,0.367,110,2.1,7.8,-10.5,1.4,23,1004743
1944,Al Gionfriddo,Pirates,4,7,0.239,36,0,-0.5,0,0,22,1004743
1916,Al Gould,Indians,30,33,0.12,-34,0,-4.7,1.5,-0.3,23,1004900
1914,Al Halt,Tip-Tops,80,278,0.279,64,1.5,-10.4,-6.6,-0.8,23,1005264
1970,Al Hrabosky,Cardinals,16,3,0,-100,0,-0.8,0.2,0,20,1006116
1972,Al Hrabosky,Cardinals,5,1,0,-100,0,-0.2,0.1,0,22,1006116
1973,Al Hrabosky,Cardinals,44,5,0,-100,0,-1.2,0.4,-0.1,23,1006116
1883,Al Hubbard,Athletics,2,7,0.366,141,0,0.4,-0.9,0,22,1006119
1914,Al Huenke,Giants,1,1,0,-100,0,-0.2,0.1,0,23,1006143
1959,Al Jackson,Pirates,8,5,0.18,7,0,-0.6,0.4,0,23,1006288
1940,Al Javery,Bees,29,26,0.132,-28,0,-4,1.8,-0.1,22,1006369
1941,Al Javery,Braves,34,60,0.108,-47,0,-10.3,4.2,-0.4,23,1006369
1976,Al Javier,Astros,8,26,0.214,35,0,-1.9,-0.3,-0.2,22,1006370
1944,Al Jurisich,Cardinals,30,47,0.189,7,0,-5.1,2.7,-0.1,22,1006654
1945,Al Jurisich,Cardinals,27,23,0.083,-59,0,-4.4,1.2,-0.3,23,1006654
1955,Al Kaline,Tigers,152,681,0.423,156,-1.4,45.8,2.5,7.3,20,1006678
1956,Al Kaline,Tigers,153,693,0.4,137,1.5,34.3,4,6.3,21,1006678
1958,Al Kaline,Tigers,146,607,0.378,133,0.2,23.4,20.4,6.4,23,1006678
1957,Al Kaline,Tigers,149,636,0.358,119,-0.9,13,13.6,4.7,22,1006678
1953,Al Kaline,Tigers,30,30,0.303,74,0.2,-0.7,-0.5,0,18,1006678
1954,Al Kaline,Tigers,138,535,0.3,76,0.2,-14.7,12.3,1.4,19,1006678
1923,Al Kellett,Athletics,5,3,0.314,72,0,-0.1,0.2,0,21,1006767
1908,Al Kellogg,Athletics,3,8,0.121,-21,0,-1,0.3,-0.1,21,1006787
1909,Al Klawitter,Giants,6,11,0.397,147,-0.1,0.4,0.5,0.2,20,1006988
1942,Al Kvasnak,Senators,5,13,0.258,52,0,-0.7,-0.1,0,21,1007227
1942,Al Lakeman,Reds,20,43,0.216,30,0,-3.3,0.5,-0.2,23,1007263
1943,Al LaMacchia,Browns,1,2,0,-100,0,-0.5,0.1,0,21,1007267
1945,Al LaMacchia,Browns,5,1,0,-100,0,-0.2,0.1,0,23,1007267
1890,Al Lawson,- - -,3,7,0.112,-19,0,-1.3,0.3,-0.1,21,1007404
1920,Al Lefevre,Giants,17,27,0.168,-8,0,-3.2,3.8,0.1,21,1007475
